iter	Passed	Remaining
407	4458	6468
408	4467	6455
409	4477	6443
410	4487	6430
411	4497	6418
412	4506	6405
413	4517	6394
414	4527	6382
415	4537	6369
416	4548	6358
417	4557	6345
418	4568	6335
419	4579	6323
420	4588	6310
421	4598	6298
422	4608	6286
423	4620	6276
424	4631	6266
425	4643	6256
426	4655	6246
427	4667	6238
428	4680	6230
429	4693	6221
430	4705	6211
431	4717	6202
432	4729	6192
433	4740	6182
434	4750	6170
435	4761	6158
436	4771	6147
437	4781	6135
438	4792	6124
439	4802	6112
440	4813	6102
441	4824	6091
442	4835	6079
443	4846	6069
444	4857	6058
445	4868	6047
446	4879	6036
447	4891	6026
448	4904	6019
449	4917	6010
450	4929	6000
451	4940	5990
452	4951	5979
453	4962	5968
454	4973	5956
455	4983	5945
456	4994	5934
457	5005	5923
458	5016	5912
459	5027	5901
460	5038	5890
461	5049	5879
462	5059	5868
463	5069	5856
464	5080	5845
465	5092	5835
466	5103	5824
467	5119	5820
468	5132	5811
469	5144	5801
470	5155	5790
471	5166	5779
472	5176	5767
473	5186	5755
474	5196	5743
475	5207	5732
476	5218	5721
477	5228	5710
478	5239	5699
479	5251	5688
480	5261	5677
481	5272	5666
482	5284	5656
483	5295	5645
484	5306	5634
485	5317	5623
486	5328	5612
487	5338	5601
488	5350	5590
489	5361	5580
490	5372	5569
491	5384	5559
492	5397	5550
493	5408	5539
494	5420	5529
495	5431	5519
496	5444	5510
497	5455	5499
498	5466	5488
499	5477	5477
500	5488	5466
501	5499	5455
502	5510	5444
503	5521	5433
504	5532	5423
505	5545	5414
506	5558	5405
507	5570	5395
508	5584	5387
509	5597	5377
510	5609	5368
511	5622	5358
512	5633	5348
513	5645	5337
514	5657	5327
515	5669	5317
516	5680	5307
517	5692	5297
518	5706	5288
519	5719	5279
520	5732	5270
521	5744	5259
522	5754	5248
523	5766	5237
524	5779	5229
525	5794	5221
526	5807	5212
527	5818	5201
528	5829	5190
529	5841	5180
530	5854	5170
531	5866	5160
532	5879	5151
533	5890	5140
534	5903	5130
535	5914	5119
536	5925	5109
537	5937	5098
538	5948	5087
539	5960	5077
540	5973	5068
541	5985	5058
542	5997	5047
543	6009	5037
544	6022	5027
545	6035	5018
546	6047	5008
547	6060	4998
548	6073	4989
549	6086	4980
550	6098	4969
551	6110	4959
552	6134	4958
553	6144	4946
554	6155	4935
555	6166	4924
556	6177	4913
557	6190	4903
558	6200	4891
559	6211	4880
560	6222	4869
561	6233	4858
562	6245	4847
563	6255	4835
564	6266	4824
565	6276	4813
566	6287	4801
567	6299	4791
568	6309	4778
569	6319	4767
570	6329	4755
571	6339	4743
572	6349	4731
573	6360	4720
574	6369	4708
575	6379	4696
576	6389	4683
577	6399	4672
578	6409	4660
579	6420	4648
580	6430	4637
581	6440	4625
582	6451	4614
583	6461	4602
584	6470	4590
585	6480	4578
586	6490	4566
587	6500	4555
588	6511	4543
589	6520	4531
590	6531	4520
591	6541	4508
592	6552	4497
593	6566	4488
594	6578	4477
595	6590	4467
596	6602	4456
597	6613	4445
598	6623	4434
599	6633	4422
600	6644	4411
601	6655	4400
602	6665	4388
603	6677	4377
604	6688	4366
605	6698	4355
606	6710	4344
607	6721	4333
608	6732	4322
609	6743	4311
610	6754	4300
611	6765	4289
612	6776	4277
613	6787	4267
614	6798	4255
615	6808	4244
616	6819	4232
617	6828	4220
618	6838	4209
619	6848	4197
620	6859	4186
621	6869	4174
622	6879	4162
623	6888	4150
624	6897	4138
625	6908	4127
626	6918	4115
627	6927	4103
628	6937	4092
629	6947	4080
630	6957	4068
631	6967	4057
632	6977	4045
633	6988	4034
634	6999	4023
635	7008	4011
636	7019	4000
637	7030	3989
638	7040	3977
639	7051	3966
640	7061	3955
641	7074	3944
642	7086	3934
643	7098	3923
644	7109	3912
645	7119	3901
646	7129	3890
647	7138	3877
648	7149	3866
649	7158	3854
650	7169	3843
651	7179	3832
652	7189	3820
653	7199	3808
654	7208	3796
655	7219	3785
656	7229	3774
657	7239	3762
658	7249	3751
659	7261	3740
